rank,score,types,regions,title,actors
43,8.9,"剧情,喜剧,动画",日本,东京教父,"江守彻,梅垣义明,冈本绫,饭塚昭三,加藤精三,石丸博也,槐柳二,屋良有作,寺濑今日子,能登麻美子,大塚明夫,小山力也,宇垣秀成,小形满,芝原智矢子,竹口安芸子,古田信幸,汤屋敦子,堀川仁,风间勇刀,柴田理惠,犬山犬子,山寺宏一,柚木凉香,进藤尚美,川原庆久,麻生智久,铃森勘司,金田朋子,藤原启治,兴梠里美"
44,8.9,"动画,冒险,喜剧,悬疑",日本,心理游戏,"今田耕司,藤井隆,山口智充,西凛太郎,布鲁斯·洛克"
45,8.9,喜剧,美国,玉女风流,"詹姆斯·卡格尼,霍斯特·布赫霍尔茨,帕梅拉·蒂芬,艾琳·弗朗西斯,霍华德·圣约翰,Hanns Lothar,Leon Askin,劳夫·沃尔特,卡尔·莱芬,休伯特 · 冯 · 麦瑞肯,Peter Capell,Til Kiwe,Henning Schlüter,Karl Ludwig Lindt,西戈·鲁曼,Helmut Schmid,Rose Renée Roth,莱德·巴顿斯,Jaspar von Oertzen,Loïs Bolton,Werner Hessenland,Siegfrid Dornbusch,莉泽洛特·普尔韦尔,Friedrich Hollaender,Max Buchsbaum,Otto Friebel,Paul Bös"
46,8.9,"喜剧,动画,奇幻",台湾,魔法阿妈,"文英,许杰辉,丁力"
47,8.9,"喜剧,剧情",日本,我出生了，但……,"斋藤达雄,青木富夫,菅原秀雄,坂本武,笠智众,叶山正雄,吉川满子,早见照代"
48,8.9,"喜剧,动画",英国,阿曼动画之超级无敌掌门狗系列1,
49,8.9,"喜剧,动画",英国,阿德曼动画精选：超级无敌掌门狗,
50,8.8,"剧情,喜剧,动作,西部","中国大陆,香港",让子弹飞,"姜文,葛优,周润发,刘嘉玲,陈坤,张默,姜武,周韵,廖凡,姚橹,邵兵,苗圃,冯小刚,胡军,马珂,白冰,杜奕衡,李静,胡明,危笑,杨奇雨,赵铭,宣晓鸣,姜洪齐,岳红,吴昔果,沙瑀,陈磊,文祥"
51,8.8,"剧情,喜剧,冒险","美国,德国,英国",布达佩斯大饭店,"拉尔夫·费因斯,托尼·雷沃罗利,艾德里安·布洛迪,威廉·达福,裘德·洛,爱德华·诺顿,西尔莎·罗南,蒂尔达·斯文顿,比尔·默瑞,蕾雅·赛杜,欧文·威尔逊,詹森·舒瓦兹曼,马修·阿马立克,F·默里·亚伯拉罕,汤姆·威尔金森,杰夫·高布伦,哈威·凯特尔,尼尔·哈夫,拉里·派恩,吉塞尔达·沃洛迪,瓦里丝·阿卢瓦利亚,弗洛里安·卢卡斯,卡尔·马克维斯,鲍勃·巴拉班,费舍·史蒂芬斯,华莱士·沃洛达斯基,吴永庆,丽萨·克鲁泽,野村训市,汉勒斯·魏格纳,加布里埃尔·拉什,卢卡斯·赫奇斯"
52,8.8,"剧情,喜剧,犯罪",美国,低俗小说,"约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫,蒂姆·罗斯,塞缪尔·杰克逊,菲尔·拉马,布鲁斯·威利斯,弗兰克·威利,布尔·斯蒂尔斯,文·瑞姆斯,劳拉·拉芙蕾丝,保罗·考尔德伦,布罗娜·加拉赫,罗姗娜·阿奎特,埃里克·斯托尔兹,玛丽亚·德·梅黛洛,昆汀·塔伦蒂诺,史蒂夫·布西密,克里斯托弗·沃肯,哈威·凯特尔,彼得·格林纳,安琪拉·琼斯,阿尼·萨瓦,Stephen Hibbert"
