rank,score,types,regions,title,actors
36,8.7,"剧情,犯罪,悬疑,惊悚",美国,洛城机密,"凯文·史派西,罗素·克劳,盖·皮尔斯,詹姆斯·克伦威尔,金·贝辛格,丹尼·德维托,大卫·斯特雷泽恩,朗·瑞弗金,马特·麦考伊,保罗·吉尔福伊尔,保罗·塞甘蒂,伊丽莎白·格兰里,桑德拉·泰勒,史蒂夫·兰金,格拉汉姆·贝克尔,阿兰·格拉夫,Symba Smith,鲍勃·克莱德宁,安贝尔·史密斯,达雷尔·桑迪,Michael Warwick,西蒙·贝克,肖尼·弗里·琼斯,小托马斯·罗萨莱斯,Shane Dixon,Norman Howell,Brian Lally,约翰·马洪,托马斯·阿拉纳,Michael McCleery,杰克·康利,杰克·奈特,格温达·迪肯,因格·内哈斯,吉姆·梅茨勒,萨利姆·格兰特,马里索尔·帕迪亚·桑切斯,乔丹·马尔德,Gregory White,约翰·斯拉德,布琳达·巴克,艾琳·罗森,大卫·圣.詹姆斯,Jeff Austin,迪克·史迪威,威廉·博伊德,Priscilla Cory,朗达·弗莱明,黛博拉·蔻儿,艾伦·拉德,维罗妮卡·莱克,Scott McKinley,玛丽莲·梦露,Gilbert Rosales,弗兰克·辛纳特拉,简·拉塞尔,弗吉尼亚·梅奥,Mike Kennedy"
37,8.7,"剧情,爱情,悬疑","法国,波兰,瑞士",蓝白红三部曲之红,"伊莲娜·雅各布,让-路易·特兰蒂尼昂,弗雷德里奎·费德,让-皮耶·罗利特,塞缪尔·勒·比汉,马里恩·斯泰伦斯,特科·切里奥,伯纳德·埃斯卡隆,让·施莱格尔,埃尔兹别塔·亚辛斯卡,保罗·弗梅伦,让-马利·道纳斯,罗兰·凯里,朱丽叶·比诺什,贝努特·里格恩特,朱莉·德尔佩,泽比纽·扎马洲斯基"
38,8.7,"剧情,悬疑","美国,法国",斯隆女士,"杰西卡·查斯坦,古古·姆巴塔-劳,约翰·利思戈,艾丽森·皮尔,迈克尔·斯图巴,马克·斯特朗,杰克·莱西,道格拉斯·史密斯,萨姆·沃特森,迪伦·贝克,恩尼斯·埃斯莫,梅格翰·法伊,亚历桑德拉·卡斯蒂略,凯尔·麦克,杰克·默里,克里斯汀·芭伦斯基,雷欧·巴奈扎,大卫·威尔逊·巴恩斯"
39,8.7,"犯罪,悬疑,惊悚",美国,电话谋杀案,"雷·米兰德,格蕾丝·凯利,罗伯特·卡明斯,约翰·威廉姆斯,安东尼·道森,利奥·布里特,帕特里克·艾伦,乔治·利,罗温·休斯,马丁·米尔纳,哈罗德·米勒,Forbes Murray,Thayer Roberts,山姆·哈里斯,盖·唐尔曼,贝丝·弗劳尔斯,阿尔弗雷德·希区柯克"
40,8.7,"剧情,科幻,悬疑",苏联,潜行者,"亚历山大·凯伊达诺夫斯基,阿丽萨·弗雷因德利赫,安纳托利·索洛尼岑,尼古拉·格林科,纳塔利娅·阿布拉莫娃,费米·约尔诺,E·科斯京,雷默·伦迪"
41,8.7,"剧情,悬疑,犯罪",日本,古畑任三郎 VS SMAP,"田村正和,西村雅彦,户田惠子,梶原善,宇梶刚士,石井正则,小林隆,中居正广,木村拓哉,稻垣吾郎,草剪刚,香取慎吾"
42,8.7,"动画,悬疑,冒险","法国,比利时,瑞士",丁丁历险记之太阳神的囚徒,"安德烈·瓦尔米,亨利·维尔洛热,Guy Piérauld,贝尔纳·米松,Roland Ménard,Fred Pasquali,Jean Michaud,雅克·马兰,赫拉德·埃尔南德斯,亨利·贾尼克,Claude Bertrand,雅克·巴吕坦,Albert Augier,Jacques Jouanneau"
43,8.7,"犯罪,悬疑,恐怖",英国,巴斯克维尔的猎犬,"杰瑞米·布雷特,爱德华·哈德威克,克里斯托弗·塔柏,罗纳德·皮卡普,Don McKillop,Rosemary McHale,William Ilkley,Bernard Horsfall,Myrtle Devenish,唐纳德·比塞特,詹姆斯·福克纳"
44,8.7,"犯罪,悬疑,惊悚",德国,玩家马布斯博士,"鲁道夫·克莱恩-鲁格,艾于德·埃格德·尼森,格特鲁德·韦尔克,阿弗莱德·阿贝尔,伯恩哈德·格茨克,保罗·里希特,汉斯·阿达尔贝特·施勒托,格奥尔格·约翰,查理·普菲,格蕾特·贝格尔,朱利叶斯·法尔肯施泰因,莉迪娅·波捷奇纳,尤利乌斯·E·赫尔曼"
45,8.7,"悬疑,犯罪",英国,伯特伦旅馆之谜,"杰拉尔丁·麦克伊万,玛汀·麦古基安,弗兰西丝卡·安妮丝,波利·沃克,史蒂芬·曼甘 ,艾米丽·比查姆,玛丽·奈姬"
46,8.6,"犯罪,剧情,悬疑,惊悚",美国,记忆碎片,"盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺,小马克·布恩,拉什·费加,乔雅·福克斯,斯蒂芬·托布罗斯基,哈里特·桑塞姆·哈里斯,托马斯·列农,考乐姆·吉斯·雷尼,金伯利·坎贝尔,玛丽安妮·穆勒雷尔,拉里·霍尔登"
47,8.6,"剧情,犯罪,悬疑,惊悚","美国,俄罗斯",网络谜踪,"约翰·赵,米切尔·拉,黛博拉·梅辛,约瑟夫·李,萨拉·米博·孙,亚历克丝·杰恩·高,刘玥辰,刘卡雅,多米尼克·霍夫曼,西尔维亚·米纳西安,梅丽莎·迪斯尼,康纳·麦克雷斯,科林·伍德尔,约瑟夫·约翰·谢尔勒,阿什丽·艾德纳,考特尼·劳伦·卡明斯,托马斯·巴布萨卡,朱莉·内桑森,罗伊·阿布拉姆森,盖奇·比尔托福,肖恩·奥布赖恩,瑞克·萨拉比亚,布拉德·阿布瑞尔,加布里埃尔·D·安吉尔,拉桑德拉·吉布森,布莱恩娜·麦克莱恩,本·J·皮尔斯,肯尼思·莫斯利"
48,8.6,"动作,悬疑,惊悚","美国,德国,捷克",谍影重重,"马特·达蒙,弗朗卡·波滕特,克里斯·库珀,克里夫·欧文,朱丽娅·斯蒂尔斯,布莱恩·考克斯,阿德沃尔·阿吉纽依-艾格拜吉,加布里埃尔·曼,沃尔顿·戈金斯,约什·汉密尔顿,奥尔索·马利亚·奎利尼,戴维·鲍姆伯,维森特·富兰克林,迪米特里·格里特萨斯,安东尼·格林,卢多维克·布尔努瓦,丹尼尔·科比·埃尔斯基尼,吉米·让-刘易斯,休伯特·圣-麦卡里,埃里克·莫罗"
49,8.6,"动作,悬疑,惊悚","美国,德国",谍影重重2,"马特·达蒙,弗朗卡·波滕特,布莱恩·考克斯,朱丽娅·斯蒂尔斯,卡尔·厄本,琼·艾伦,加布里埃尔·曼,马尔顿·索克斯,约翰·贝德福德·劳埃德,伊桑·桑德勒,米歇尔·莫纳汉,卡瑞尔·罗登,托马斯·阿拉纳,奥莎娜·阿金什那,汤姆·加洛普,伊万·舍甫多夫,埃莱娜·卡多纳,克里斯·库珀,丹尼斯·布尔加兹列夫,谢恩·辛努特科,肖恩·史密斯,蒂姆·格里芬,乔恩·科林·巴克利,维克多·阿尔菲"
50,8.6,"剧情,犯罪,悬疑,惊悚","德国,美国",非常嫌疑犯,"史蒂芬·鲍德温,加布里埃尔·伯恩,本尼西奥·德尔·托罗,凯文·波拉克,凯文·史派西,查兹·帕尔明特瑞,皮特·波斯尔思韦特,苏茜·爱米斯,吉安卡罗·埃斯波西托,丹·哈达亚,保罗·巴特尔,卡尔·布瑞斯勒,菲力浦·西蒙,杰克·希勒,克里斯汀·艾斯布鲁克,克拉克·格雷格,克里斯托弗·麦奎里,米歇尔·科鲁尼,卡斯图罗·格雷拉,路易斯·隆巴迪,维托·达布罗西奥,Scott B. Morgan"
