rank,score,types,regions,title,actors
41,8.9,"剧情,爱情,动画",日本,侧耳倾听,"本名阳子,小林桂树,高山南,高桥一生,山下容莉枝,室井滋,露口茂,饭冢雅弓,加利·艾尔维斯"
42,8.9,"剧情,喜剧,爱情,同性,家庭","台湾,美国",喜宴,"赵文瑄,郎雄,归亚蕾,金素梅,米切尔·利希藤斯坦,杨元提,李淳,李安,迈克尔·加斯顿,许永德,汉娜·沙利文,姚培德"
43,8.9,"动画,剧情,爱情","日本,美国",佛兰德斯的狗,"津村真琴,丹下樱,富田耕生,中西妙子,龟井芳子,渊崎由里子,平野正人,安达忍,峰惠研,竹口安芸子,城山坚,绪方贤一,菅原淳一,岩坪理江,真山亚子,佐佐木优子,森川智之,鸟海胜美,山本圭,冈江久美子,筑崎茂,八木亚希子,伊集院光,铃木保奈美,罗伯特·劳吉亚,布雷迪布鲁姆,黛比·德里贝里"
44,8.9,"剧情,爱情,歌舞",美国,歌厅,"丽莎·明奈利,麦克尔·约克,赫尔穆特·格里姆,乔尔·格雷,弗里茨·维伯,马里莎·贝伦森,伊丽莎白·诺伊曼-菲特尔,海伦·维塔,西格丽德·冯·里希特霍芬,格尔德·费斯佩曼,劳夫·沃尔特,Estrongo Nachama,凯瑟琳·多比,Pierre Franckh,Ellen Umlauf"
45,8.9,"剧情,历史,爱情","希腊,法国,意大利,德国",哭泣的草原,"吉欧格·亚曼尼斯,伊娃·科塔曼尼多,George Houliaras,瓦西利斯·科洛沃斯,尼克斯·普尔索尼迪斯,亚历山德拉·艾迪尼,陶拉·斯塔索普洛斯"
46,8.8,"剧情,爱情","中国大陆,香港",阳光灿烂的日子,"夏雨,宁静,陶虹,耿乐,斯琴高娃,冯小刚,刘小宁,姜文,王学圻,王朔,尚楠,方化,代少波,王海,姚二嘎,吴淑昆,左小青,刘斌,高保成,张华,刘金山"
47,8.8,"剧情,爱情","美国,奥地利,瑞士",爱在黎明破晓前,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特,汉诺·波西尔,Karl Bruckschwaiger,Tex Rubinowitz,埃尔尼·曼戈尔德,Dominik Castell,Haymon Maria Buttinger,Harald Waiglein,汉斯·魏因加特纳,Peter Ily Huemer,Hubert Fabian Kulterer,约翰·斯洛斯,Christian Ankowitsch,亚当·戈德堡,Paul Poet"
48,8.8,"剧情,爱情,同性","意大利,法国,巴西,美国,荷兰,德国",请以你的名字呼唤我,"艾米·汉莫,蒂莫西·柴勒梅德,迈克尔·斯图巴,阿蜜拉·卡萨,艾斯特·加瑞尔,维克托瓦尔·杜·波依斯,旺妲·卡布里奥罗,安东尼奥·里莫尔迪,埃琳娜·布奇,马可·斯格罗索,安德列·艾席蒙,彼得·斯皮尔斯"
49,8.8,"剧情,爱情",香港,甜蜜蜜,"黎明,张曼玉,杨恭如,曾志伟,杜可风,张同祖,诸慧荷,丁羽,谢志华"
50,8.8,"剧情,爱情",美国,爱在日落黄昏时,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫,路易丝·勒莫瓦纳·托雷斯,罗多尔·保利,玛丽安·普莱施泰格,Diabolo,丹尼·弗拉,艾伯特·德尔佩,玛丽·佩里"
